Rank,University,Country,Score,Enrollment
1,Harvard University,united states,N/A,N/A
2,Massachusetts Institute of Technology (MIT),united states,N/A,N/A
3,Stanford University,united states,N/A,N/A
4,University of Oxford,United Kingdom,N/A,N/A
5,University of California Berkeley,united states,N/A,N/A
6,University of Cambridge,United Kingdom,N/A,N/A
7,University College London,United Kingdom,N/A,N/A
9,Columbia University,united states,N/A,N/A
10,Yale University,united states,N/A,N/A
11,University of California Los Angeles,united states,N/A,N/A
12,Imperial College London,United Kingdom,N/A,N/A
13,Johns Hopkins University,united states,N/A,N/A
14,University of Pennsylvania,united states,N/A,N/A
15,University of California San Francisco,united states,N/A,N/A
16,Tsinghua University,China,N/A,N/A
17,University of Toronto,Canada,N/A,N/A
18,Princeton University,united states,N/A,N/A
19,Cornell University,united states,N/A,N/A
21,University of California San Diego,united states,N/A,N/A
22,National University of Singapore,Singapore,N/A,N/A
23,California Institute of Technology,united states,N/A,N/A
24,Northwestern University,united states,N/A,N/A
25,University of Chicago,united states,N/A,N/A
26,Duke University,united states,N/A,N/A
27,Nanyang Technological University,Singapore,N/A,N/A
29,University of Sydney,Australia,N/A,N/A
30,Washington University (WUSTL),united states,N/A,N/A
31,Peking University,China,N/A,N/A
32,New York University,united states,N/A,N/A
33,ETH Zurich,Switzerland,N/A,N/A
35,Monash University,Australia,N/A,N/A
36,King's College London,United Kingdom,N/A,N/A
38,University of Edinburgh,United Kingdom,N/A,N/A
39,University of British Columbia,Canada,N/A,N/A
40,Icahn School of Medicine at Mount Sinai,united states,N/A,N/A
41,University of Queensland,Australia,N/A,N/A
42,Chinese University of Hong Kong,Hong Kong,N/A,N/A
43,Universite Paris Cite,France,N/A,N/A
44,University of Copenhagen,Denmark,N/A,N/A
46,Utrecht University,Netherlands,N/A,N/A
47,University of North Carolina Chapel Hill,united states,N/A,N/A
48,Humboldt University of Berlin,Germany,N/A,N/A
50,University of Pittsburgh,united states,N/A,N/A
51,Karolinska Institutet,Sweden,N/A,N/A
53,University of Munich,Germany,N/A,N/A
54,Shanghai Jiao Tong University,China,N/A,N/A
55,Ruprecht Karls University Heidelberg,Germany,N/A,N/A
56,Leiden University,Netherlands,N/A,N/A
60,University of Zurich,Switzerland,N/A,N/A
61,Ohio State University,united states,N/A,N/A
63,Emory University,united states,N/A,N/A
66,Free University of Berlin,Germany,N/A,N/A
67,Hong Kong Polytechnic University,Hong Kong,N/A,N/A
69,"University of Chinese Academy of Sciences, CAS",China,N/A,N/A
70,Erasmus University Rotterdam,Netherlands,N/A,N/A
72,University of Maryland College Park,united states,N/A,N/A
73,Boston University,united states,N/A,N/A
74,King Abdulaziz University,Saudi Arabia|jeddah,N/A,N/A
76,Universite Paris Saclay,France,N/A,N/A
78,Vrije Universiteit Amsterdam,Netherlands,N/A,N/A
79,City University of Hong Kong,Hong Kong,N/A,N/A
82,Technical University of Munich,Germany,N/A,N/A
84,University of Tokyo,Japan,N/A,N/A
85,Australian National University,Australia,N/A,N/A
88,Ecole Polytechnique Federale de Lausanne,united states,N/A,N/A
89,University of California Davis,united states,N/A,N/A
91,University of Western Australia,Australia,N/A,N/A
92,Queen Mary University London,United Kingdom,N/A,N/A
94,Rockefeller University,united states,N/A,N/A
96,Pennsylvania State University,united states,N/A,N/A
98,Nanjing University,China,N/A,N/A
100,Huazhong University of Science & Technology,China,N/A,N/A
104,University of Oslo,Norway,N/A,N/A
105,Hong Kong University of Science & Technology,Hong Kong,N/A,N/A
106,Sun Yat Sen University,China,N/A,N/A
108,Wuhan University,China,N/A,N/A
109,Ghent University,Belgium,N/A,N/A
111,University of Bern,Switzerland,N/A,N/A
112,Universite PSL,France,N/A,N/A
113,University of Helsinki,Finland,N/A,N/A
115,University of Arizona,united states,N/A,N/A
116,University of Cape Town,South Africa|cape Town,N/A,N/A
117,Aarhus University,Denmark,N/A,N/A
119,Hunan University,China,N/A,N/A
121,London School of Hygiene & Tropical Medicine,United Kingdom,N/A,N/A
122,University of Exeter,United Kingdom,N/A,N/A
123,Michigan State University,united states,N/A,N/A
125,Lund University,Sweden,N/A,N/A
127,McMaster University,Canada,N/A,N/A
129,University of California Santa Cruz,united states,N/A,N/A
130,University of Bologna,Italy,N/A,N/A
132,University of Auckland,New Zealand|auckland,N/A,N/A
133,Autonomous University of Barcelona,Spain,N/A,N/A
134,Carnegie Mellon University,united states,N/A,N/A
135,Indiana University Bloomington,united states,N/A,N/A
137,Baylor College of Medicine,united states,N/A,N/A
140,Sapienza University Rome,Italy,N/A,N/A
141,University of Leeds,United Kingdom,N/A,N/A
142,King Saud University,Saudi Arabia|riyadh,N/A,N/A
146,University of Hamburg,Germany,N/A,N/A
148,Oregon Health & Science University,united states,N/A,N/A
150,University of Alberta,Canada,N/A,N/A
153,Brown University,united states,N/A,N/A
157,Southern University of Science & Technology,China,N/A,N/A
159,Newcastle University - UK,United Kingdom,N/A,N/A
160,Case Western Reserve University,united states,N/A,N/A
164,Cankaya University,Turkey|ankara,N/A,N/A
167,Purdue University West Lafayette Campus,united states,N/A,N/A
168,Central South University,China,N/A,N/A
